GFDL_varname,CMOR_varname,standard_name,long_name,mipTable,cmor_units
concdust,concdust,mass_concentration_of_dust_dry_aerosol_particles_in_air,Concentration of Dust,Emon,kg m-3,
utendogw,utendogw,tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,u-tendency orographic gravity wave drag,Emon,m s-2,
utendnogw,utendnogw,tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,u-tendency nonorographic gravity wave drag,Emon,m s-2,
diabdrag,diabdrag,tendency_of_eastward_wind_due_to_numerical_artefacts,Tendency of Eastward Wind from Numerical Artefacts,Emon,m s-2,
conccmcn,conccmcn,number_concentration_of_coarse_mode_ambient_aerosol_particles_in_air,Number Concentration Coarse Mode Aerosol,Emon,m-3,
concnmcn,concnmcn,number_concentration_of_nucleation_mode_ambient_aerosol_particles_in_air,Number Concentration of Nucleation Mode Aerosol,Emon,m-3,
conccn,conccn,number_concentration_of_ambient_aerosol_particles_in_air,Aerosol Number Concentration,Emon,m-3,
ec550aer,ec550aer,volume_extinction_coefficient_in_air_due_to_ambient_aerosol_particles,Aerosol extinction coefficient,Emon,m-1,
rsdsdiff,rsdsdiff,surface_diffuse_downwelling_shortwave_flux_in_air,Surface Diffuse Downwelling Shortwave Radiation,Emon,W m-2,
cldnci,cldnci,number_concentration_of_ice_crystals_in_air_at_ice_cloud_top,Ice Crystal Number Concentration of Cloud Tops,Emon,m-3,
sconcso4,sconcso4,mass_concentration_of_sulfate_dry_aerosol_particles_in_air,Surface Concentration of SO4,Emon,kg m-3,
cldncl,cldncl,number_concentration_of_cloud_liquid_water_particles_in_air_at_liquid_water_cloud_top,Cloud Droplet Number Concentration of Cloud Tops,Emon,m-3,
cldnvi,cldnvi,atmosphere_number_content_of_cloud_droplets,Column Integrated Cloud Droplet Number,Emon,m-2,
sconcss,sconcss,mass_concentration_of_sea_salt_dry_aerosol_particles_in_air,Surface Concentration of Seasalt,Emon,kg m-3,
sconcdust,sconcdust,mass_concentration_of_dust_dry_aerosol_particles_in_air,Surface Concentration of Dust,Emon,kg m-3,
loadso4,loadso4,atmosphere_mass_content_of_sulfate_dry_aerosol_particles,Load of SO4,Emon,kg m-2,
loadss,loadss,atmosphere_mass_content_of_sea_salt_dry_aerosol_particles,Load of Seasalt,Emon,kg m-2,
pr18O,pr18O,precipitation_flux_containing_18O,Precipitation Flux of Water containing Oxygen-18 (H2 18O),Emon,kg m-2 s-1,
prsn18O,prsn18O,solid_precipitation_flux_containing_18O,Precipitation Flux of Snow and Ice containing Oxygen-18 (H2 18O),Emon,kg m-2 s-1,
pr2h,pr2h,precipitation_flux_containing_single_2H,Precipitation Flux of Water containing Deuterium (1H 2H O),Emon,kg m-2 s-1,
prsn2h,prsn2h,solid_precipitation_flux_containing_single_2H,Precipitation Flux of Snow and Ice containing Deuterium (1H 2H O),Emon,kg m-2 s-1,
pr17O,pr17O,precipitation_flux_containing_17O,Precipitation Flux of Water containing Oxygen-17 (H2 17O),Emon,kg m-2 s-1,
prsn17O,prsn17O,solid_precipitation_flux_containing_17O,Precipitation Flux of Snow and Ice containing Oxygen-17 (H2 17O),Emon,kg m-2 s-1,
O18wv,O18wv,isotope_ratio_of_18O_to_16O_in_sea_water_excluding_solutes_and_solids,O18 in water vapor,Emon,1,
prw17O,prw17O,mass_content_of_water_vapor_containing_17O_in_atmosphere_layer,Mass of Water containing Oxygen-17 (H2 17O) in Layer,Emon,kg m-2,
prw2H,prw2H,mass_content_of_water_vapor_containing_single_2H_in_atmosphere_layer,Mass of Water containing Deuterium (1H 2H O) in Layer,Emon,kg m-2,
evspsblpot,evspsblpot,water_potential_evaporation_flux,Potential Evapotranspiration,Emon,kg m-2 s-1,
rss,rss,surface_net_downward_shortwave_flux,Net Shortwave Surface Radiation,Emon,W m-2,
tdps,tdps,dew_point_temperature,2m dewpoint temperature,Emon,K,
intuaw,intuaw,eastward_atmosphere_water_transport_across_unit_distance,Vertically integrated Eastward moisture transport (Mass_weighted_vertical integral of the product of eastward wind by total water mass per unit mass),Emon,kg m-1 s-1,
intvaw,intvaw,northward_atmosphere_water_transport_across_unit_distance,Vertically integrated Northward moisture transport (Mass_weighted_vertical integral of the product of northward wind by total water mass per unit mass),Emon,kg m-1 s-1,
intuadse,intuadse,eastward_atmosphere_dry_static_energy_transport_across_unit_distance,Vertically integrated Eastward dry transport (cp.T +zg).u (Mass_weighted_vertical integral of the product of northward wind by dry static_energy per mass unit),Emon,1.e6 J m-1 s-1,
intvadse,intvadse,northward_atmosphere_dry_static_energy_transport_across_unit_distance,Vertically integrated Northward dry transport (cp.T +zg).v (Mass_weighted_vertical integral of the product of northward wind by dry static_energy per mass unit),Emon,1.e6 J m-1 s-1,
flashrate,flashrate,frequency_of_lightning_flashes_per_unit_area,Lightning Flash Rate,Emon,km-2 s-1,
prw18O,prw18O,mass_content_of_water_vapor_containing_18O_in_atmosphere_layer,Isotopic Ratio of Oxygen-18 in Sea Water,Emon,kg m-2,
thetaot,thetaot,sea_water_potential_temperature,Vertically Averaged Sea Water Potential Temperature,Emon,degC,
mrsll,mrsll,liquid_water_content_of_soil_layer,Liquid water content of soil layer,Emon,kg m-2,
mrtws,mrtws,land_water_amount,Total water storage in a grid cell,Emon,kg m-2,
vegFrac,vegFrac,area_fraction,Total vegetated percentage cover,Emon,%,
treeFracNdlEvg,treeFracNdlEvg,area_fraction,Needleleaf evergreen tree area percentage,Emon,%,
treeFracNdlDcd,treeFracNdlDcd,area_fraction,Needleleaf deciduous tree area percentage,Emon,%,
treeFracBdlEvg,treeFracBdlEvg,area_fraction,Broadleaf evergreen tree area percentage,Emon,%,
treeFracBdlDcd,treeFracBdlDcd,area_fraction,Broadleaf deciduous tree area percentage,Emon,%,
cropFracC4,cropFracC4,area_fraction,Percentage Cover by C4 Crops,Emon,%,
vegHeight,vegHeight,canopy_height,canopy height,Emon,m,
vegHeightTree,vegHeightTree,canopy_height,Vegetation height averaged over the tree fraction of a grid cell.,Emon,m,
wetlandFrac,wetlandFrac,area_fraction,Wetland Percentage Cover,Emon,%,
c14Veg,c14Veg,vegetation_mass_content_of_14C,Mass of 14C in Vegetation,Emon,kg m-2,
c13Soil,c13Soil,soil_mass_content_of_13C,Mass of 13C in Soil Pool,Emon,kg m-2,
nVeg,nVeg,vegetation_mass_content_of_nitrogen,Nitrogen Mass in Vegetation,Emon,kg m-2,
nLitter,nLitter,litter_mass_content_of_nitrogen,Nitrogen Mass in Litter Pool,Emon,kg m-2,
nLand,nLand,mass_content_of_nitrogen_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Total nitrogen in all terrestrial nitrogen pools,Emon,kg m-2,
wetlandCH4,wetlandCH4,surface_net_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_processes,Grid averaged methane emissions from wetlands,Emon,kg m-2 s-1,
rac14,rac14,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_plant_respiration,Mass Flux of 14C into Atmosphere due to Autotrophic (Plant) Respiration on Land,Emon,kg m-2 s-1,
rhc14,rhc14,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_heterotrophic_respiration,Mass Flux of 14C into Atmosphere due to Heterotrophic Respiration on Land,Emon,kg m-2 s-1,
rac13,rac13,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_plant_respiration,Mass Flux of 13C into Atmosphere due to Autotrophic (Plant) Respiration on Land,Emon,kg m-2 s-1,
netAtmosLandC13Flux,netAtmosLandC13Flux,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_all_land_processes,Net Mass Flux of 13C between atmosphere and land (positive into land) as a result of all processes.,Emon,kg m-2 s-1,
fN2O,fN2O,surface_upward_mass_flux_of_nitrous_oxide_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,Total land N2O flux,Emon,kg m-2 s-1,
od550aerso,od550aerso,stratosphere_optical_thickness_due_to_ambient_aerosol_particles,Stratospheric Optical depth at 550 nm (all aerosols) 2D-field (here we limit the computation of OD to the stratosphere only),Emon,1,
od550so4so,od550so4so,stratosphere_optical_thickness_due_to_sulfate_ambient_aerosol_particles,Stratospheric Optical depth at 550 nm (sulphate only) 2D-field (here we limit the computation of OD to the stratosphere only),Emon,1,
mmrno3,mmrno3,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,NO3 aerosol mass mixing ratio,Emon,kg kg-1,
depdust,depdust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_deposition,Total Deposition Rate of Dust,Emon,kg m-2 s-1,
sedustCI,sedustCI,minus_tendency_of_atmosphere_mass_content_of_insoluble_dust_dry_aerosol_particles_due_to_deposition,Sedimentation Flux of dust mode coarse insoluble,Emon,kg m-2 s-1,
md,md,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_emission,Wet diameter mode coarse insoluble,Emon,kg m-2 s-1,
od443dust,od443dust,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,Optical thickness at 443 nm Dust,Emon,1,
od865dust,od865dust,atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles,Optical thickness at 865 nm Dust,Emon,1,
lwtoacsdust,lwtoacsdust,toa_longwave_dust_ambient_aerosol_particles_direct_radiative_effect_assuming_clear_sky,Clear-sky TOA Longwave radiative flux due to Dust,Emon,W m-2,
swsrfcsdust,swsrfcsdust,surface_net_downward_shortwave_dust_ambient_aerosol_particles_direct_radiative_effect_assuming_clear_sky,Clear-sky Surface Shortwave radiative flux due to Dust,Emon,W m-2,
swsrfasdust,swsrfasdust,surface_net_downward_shortwave_dust_ambient_aerosol_particles_direct_radiative_effect,All-sky Surface Shortwave radiative flux due to Dust,Emon,W m-2,
lwsrfcsdust,lwsrfcsdust,surface_net_downward_longwave_dust_ambient_aerosol_particles_direct_radiative_effect_assuming_clear_sky,Clear-sky Surface Longwave radiative flux due to Dust,Emon,W m-2,
lwsrfasdust,lwsrfasdust,surface_net_downward_longwave_dust_ambient_aerosol_particles_direct_radiative_effect,All-sky Surface Longwave radiative flux due to Dust,Emon,W m-2,
zmla,zmla,atmosphere_boundary_layer_thickness,Height of Boundary Layer,Eday,m,
hus850,hus850,specific_humidity,Specific Humidity,Eday,1,
ta500,ta500,air_temperature,Air Temperature,Eday,K,
simassacrossline,simassacrossline,sea_ice_transport_across_line,Sea mass area flux through straits,SImon,kg s-1,
sipr,sipr,rainfall_flux,Rainfall rate over sea ice,SImon,kg m-2 s-1,
siflswdbot,siflswdbot,downwelling_shortwave_flux_in_sea_water_at_sea_ice_base,Downwelling shortwave flux under sea ice,SImon,W m-2,
sifllwdtop,sifllwdtop,surface_downwelling_longwave_flux_in_air,Downwelling longwave flux over sea ice,SImon,W m-2,
siflswutop,siflswutop,surface_upwelling_shortwave_flux_in_air,Upwelling Shortwave Flux over Sea Ice,SImon,W m-2,
siflfwbot,siflfwbot,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,Freshwater flux from sea ice,SImon,kg m-2 s-1,
siforcetilty,siforcetilty,sea_ice_y_force_per_unit_area_due_to_sea_surface_tilt,Sea-surface tilt term in force balance (y-component),SImon,N m-2,
sitemptop,sitemptop,sea_ice_surface_temperature,Surface temperature of sea ice,SImon,K,
sndmassdyn,sndmassdyn,tendency_of_surface_snow_amount_due_to_sea_ice_dynamics,Snow Mass Rate of Change through Avection by Sea-ice Dynamics,SImon,kg m-2 s-1,
siflfwdrain,siflfwdrain,water_flux_into_sea_water_due_to_surface_drainage,Freshwater flux from sea-ice surface,SImon,kg m-2 s-1,
sisnconc,sisnconc,surface_snow_area_fraction,Snow area fraction,SImon,%,
siforceintstry,siforceintstry,sea_ice_y_internal_stress,Internal stress term in force balance (y-component),SImon,N m-2,
sisali,sisali,sea_ice_salinity,Sea ice salinity,SImon,0.001,
sistrxdtop,sistrxdtop,surface_downward_x_stress,X-component of atmospheric stress on sea ice,SImon,N m-2,
siitdsnconc,siitdsnconc,surface_snow_area_fraction,Snow area fractions in thickness categories,SImon,%,
siflcondtop,siflcondtop,surface_downward_sensible_heat_flux,Net conductive heat flux in ice at the surface,SImon,W m-2,
sicompstren,sicompstren,compressive_strength_of_sea_ice,Compressive sea ice strength,SImon,N m-1,
hus7h,hus7h,specific_humidity,Specific Humidity,6hrPlevPt,1,
simpmass,simpmass,sea_ice_melt_pond_thickness,Meltpond Mass per Unit Area,SImon,kg m-2,
sistrxubot,sistrxubot,upward_x_stress_at_sea_ice_base,X-component of ocean stress on sea ice,SImon,N m-2,
siconca,siconca,sea_ice_area_fraction,Sea Ice Area Fraction (Atmospheric Grid),SImon,%,
sidmassgrowthbot,sidmassgrowthbot,tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation,sea-ice mass change through basal growth,SImon,kg m-2 s-1,
sistresave,sistresave,sea_ice_average_normal_horizontal_stress,Average normal stress in sea ice,SImon,N m-1,
siitdconc,siitdconc,sea_ice_area_fraction,Sea-ice area fractions in thickness categories,SImon,%,
simprefrozen,simprefrozen,thickness_of_ice_on_sea_ice_melt_pond,Thickness of Refrozen Ice on Melt Pond,SImon,m,
wbptemp7h,wbptemp7h,wet_bulb_potential_temperature,wet_bulb_potential_temperature,6hrPlevPt,K,
sidmassdyn,sidmassdyn,tendency_of_sea_ice_amount_due_to_sea_ice_dynamics,sea-ice mass change from dynamics,SImon,kg m-2 s-1,
sidconcth,sidconcth,tendency_of_sea_ice_area_fraction_due_to_thermodynamics,sea-ice area fraction change from thermodynamics,SImon,s-1,
sitempsnic,sitempsnic,sea_ice_surface_temperature,Temperature at snow-ice interface,SImon,K,
sidragtop,sidragtop,surface_drag_coefficient_for_momentum_in_air,Atmospheric drag coefficient,SImon,1,
sivols,sivols,sea_ice_volume,Sea ice volume South,SImon,1e3 km3,
siflsensupbot,siflsensupbot,upward_sea_ice_basal_heat_flux,Net upward sensible heat flux under sea ice,SImon,W m-2,
sndmasswindrif,sndmasswindrif,tendency_of_surface_snow_amount_due_to_drifting_into_sea,Snow Mass Rate of Change through Wind Drift of Snow,SImon,kg m-2 s-1,
siforcetiltx,siforcetiltx,sea_ice_x_force_per_unit_area_due_to_sea_surface_tilt,Sea-surface tilt term in force balance (x-component),SImon,N m-2,
siv,siv,sea_ice_y_velocity,Y-component of sea ice velocity,SImon,m s-1,
simpconc,simpconc,area_fraction,Percentage Cover of Sea-Ice by Meltpond,SImon,%,
siareaacrossline,siareaacrossline,sea_ice_area_transport_across_line,Sea ice area flux through straits,SImon,m2 s-1,
sidmassmelttop,sidmassmelttop,tendency_of_sea_ice_amount_due_to_surface_melting,sea-ice mass change through surface melting,SImon,kg m-2 s-1,
sidmasslat,sidmasslat,tendency_of_sea_ice_amount_due_to_lateral_melting,Lateral sea ice melt rate,SImon,kg m-2 s-1,
siareas,siareas,sea_ice_area,Sea ice area South,SImon,1e6 km2,
sidmassth,sidmassth,tendency_of_sea_ice_amount_due_to_sea_ice_thermodynamics,sea-ice mass change from thermodynamics,SImon,kg m-2 s-1,
sifllatstop,sifllatstop,surface_upward_latent_heat_flux,Net latent heat flux over sea ice,SImon,W m-2,
sivol,sivol,sea_ice_thickness,Sea-ice volume per area,SImon,m,
sidmassmeltbot,sidmassmeltbot,tendency_of_sea_ice_amount_due_to_basal_melting,sea-ice mass change through bottom melting,SImon,kg m-2 s-1,
siitdthick,siitdthick,sea_ice_thickness,Sea-ice thickness in thickness categories,SImon,m,
siforcecorioly,siforcecorioly,sea_ice_y_force_per_unit_area_due_to_coriolis_effect,Coriolis force term in force balance (y-component),SImon,N m-2,
sivoln,sivoln,sea_ice_volume,Sea ice volume North,SImon,1e3 km3,
siflsenstop,siflsenstop,surface_upward_sensible_heat_flux,Net upward sensible heat flux over sea ice,SImon,W m-2,
siage,siage,age_of_sea_ice,Age of sea ice,SImon,s,
snmassacrossline,snmassacrossline,snow_transport_across_line_due_to_sea_ice_dynamics,Snow mass flux through straits,SImon,kg s-1,
sndmasssubl,sndmasssubl,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,Snow Mass Rate of Change through Evaporation or Sublimation,SImon,kg m-2 s-1,
sidmassgrowthwat,sidmassgrowthwat,tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads,sea-ice mass change through growth in supercooled open water (aka frazil),SImon,kg m-2 s-1,
sistryubot,sistryubot,upward_y_stress_at_sea_ice_base,Y-component of ocean stress on sea ice,SImon,N m-2,
siarean,siarean,sea_ice_area,Sea ice area North,SImon,1e6 km2,
sirdgconc,sirdgconc,area_fraction,Percentage Cover of Sea-Ice by Ridging,SImon,1,
sishevel,sishevel,maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_strain_rate,Maximum shear of sea-ice velocity field,SImon,s-1,
sidmasstranx,sidmasstranx,sea_ice_x_transport,X-component of sea-ice mass transport,SImon,kg s-1,
ta7h,ta7h,air_temperature,Air Temperature,6hrPlevPt,K,
siextentn,siextentn,sea_ice_extent,Sea ice extent North,SImon,1e6 km2,
sistrydtop,sistrydtop,surface_downward_y_stress,Y-component of atmospheric stress on sea ice,SImon,N m-2,
sidmassevapsubl,sidmassevapsubl,water_evapotranspiration_flux,sea-ice mass change through evaporation and sublimation,SImon,kg m-2 s-1,
siflswdtop,siflswdtop,surface_downwelling_shortwave_flux_in_air,Downwelling shortwave flux over sea ice,SImon,W m-2,
sisaltmass,sisaltmass,sea_ice_mass_content_of_salt,Mass of salt in sea ice per area,SImon,kg m-2,
sisnmass,sisnmass,liquid_water_content_of_surface_snow,Snow mass per area,SImon,kg m-2,
ua7h,ua7h,eastward_wind,Eastward Wind,6hrPlevPt,m s-1,
siitdsnthick,siitdsnthick,surface_snow_thickness,Snow thickness in thickness categories,SImon,m,
va7h,va7h,northward_wind,Northward Wind,6hrPlevPt,m s-1,
sndmasssnf,sndmasssnf,snowfall_flux,snow mass change through snow fall,SImon,kg m-2 s-1,
siflcondbot,siflcondbot,basal_downward_heat_flux_in_sea_ice,Net conductive heat fluxes in ice at the bottom,SImon,W m-2,
sndmassmelt,sndmassmelt,surface_snow_melt_flux,Snow Mass Rate of Change through Melt,SImon,kg m-2 s-1,
sidragbot,sidragbot,sea_ice_basal_drag_coefficient_for_momentum_in_sea_water,Ocean drag coefficient,SImon,1,
sitimefrac,sitimefrac,fraction_of_time_with_sea_ice_area_fraction_above_threshold,Fraction of time steps with sea ice,SImon,1,
sfdsi,sfdsi,downward_sea_ice_basal_salt_flux,Salt flux from sea ice,SImon,kg m-2 s-1,
sispeed,sispeed,sea_ice_speed,Sea-ice speed,SImon,m s-1,
sidivvel,sidivvel,divergence_of_sea_ice_velocity,Divergence of the sea-ice velocity field,SImon,s-1,
sifllwutop,sifllwutop,surface_upwelling_longwave_flux_in_air,Upwelling Longwave Flux over Sea Ice,SImon,W m-2,
siextents,siextents,sea_ice_extent,Sea ice extent South,SImon,1e6 km2,
sifb,sifb,sea_ice_freeboard,Sea-ice freeboard,SImon,m,
siu,siu,sea_ice_x_velocity,X-component of sea ice velocity,SImon,m s-1,
siforceintstrx,siforceintstrx,sea_ice_x_internal_stress,Internal stress term in force balance (x-component),SImon,N m-2,
sistremax,sistremax,maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_stress,Maximum shear stress in sea ice,SImon,N m-1,
sihc,sihc,sea_ice_temperature_expressed_as_heat_content,Sea-ice heat content per unit area,SImon,J m-2,
sidmasstrany,sidmasstrany,sea_ice_y_transport,Y-component of sea-ice mass transport,SImon,kg s-1,
siforcecoriolx,siforcecoriolx,sea_ice_x_force_per_unit_area_due_to_coriolis_effect,Coriolis force term in force balance (x-component),SImon,N m-2,
simass,simass,sea_ice_amount,Sea-ice mass per area,SImon,kg m-2,
sitempbot,sitempbot,sea_ice_basal_temperature,Temperature at ice-ocean interface,SImon,K,
sirdgthick,sirdgthick,sea_ice_thickness,Ridged ice thickness,SImon,m,
